,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
2928,0,50000.0,3.0,1,2,0,5,1,1,2.0,0,1,5,1,0.0,150000.0,395.37974633333334,3,6.0,0,0,7.0,0.0,0,0,1,2,1,7,0,1,4,3.0,33.0,0,1,5.0,2,5.0,0.0,3.0,0,6.0,0,7,0
2930,0,15000.0,3.0,1,1,0,3,1,0,1.0,0,0,3,1,0.0,30000.0,308.53998895,2,6.0,0,0,5.0,1.0,0,0,1,2,1,7,0,1,1,6.0,34.75,0,1,1.0,2,3.0,2.0,6.0,0,6.0,0,7,0
2931,0,40000.0,4.0,0,1,0,4,1,0,1.0,0,2,5,0,0.0,80000.0,505.279378,2,6.0,1,0,3.0,0.0,0,2,1,6,1,7,0,0,2,5.0,62.0,1,0,4.0,0,3.0,0.0,5.0,0,6.0,0,7,0
2934,0,22500.0,5.0,0,2,0,4,1,0,1.0,0,1,5,0,0.0,90000.0,537.20569925,4,6.0,1,0,8.0,0.0,0,1,1,6,1,7,0,0,2,5.0,53.5,1,1,4.0,2,8.0,0.0,5.0,0,6.0,0,7,1
2935,0,37500.0,5.0,1,2,0,5,1,0,4.0,1,1,5,0,0.0,150000.0,213.9314407,4,6.0,1,0,0.0,0.0,0,1,1,8,1,7,0,1,2,6.0,33.75,0,0,5.0,0,0.0,0.0,6.0,0,6.0,0,7,1
2946,0,33333.33333,3.0,0,1,0,4,1,1,3.0,0,1,3,0,0.0,100000.0,394.888805,3,6.0,0,0,3.0,0.0,0,0,1,9,1,7,0,0,1,5.0,41.66666667,0,0,5.0,0,2.0,0.0,5.0,0,6.0,0,7,0
2950,0,83333.33333,4.0,0,2,0,6,1,1,2.0,0,1,1,0,0.0,250000.0,311.70695143333336,3,6.0,0,0,6.0,0.0,0,0,1,9,1,7,0,0,4,4.0,42.0,0,0,5.0,0,2.0,4.0,4.0,0,6.0,0,7,0
2958,0,60000.0,2.0,0,0,0,4,1,0,1.0,0,1,3,0,0.0,60000.0,362.2582338,1,6.0,1,0,6.0,0.0,0,1,1,8,1,7,0,0,1,6.0,58.66666667,0,0,5.0,0,6.0,0.0,6.0,0,6.0,0,7,0
2962,0,42000.0,4.0,0,1,0,4,1,0,1.0,0,1,2,0,0.0,84000.0,391.86341915,2,6.0,1,0,8.0,0.0,0,2,1,6,1,7,0,0,2,6.0,63.5,1,1,5.0,0,8.0,0.0,6.0,0,6.0,0,7,0
2963,0,20800.0,1.0,0,1,0,4,1,0,2.0,0,1,1,0,0.0,62400.0,233.29881053333335,3,6.0,1,0,7.0,0.0,0,1,1,8,1,7,0,0,2,6.0,43.0,0,0,5.0,0,4.0,0.0,6.0,0,6.0,0,7,0
2965,0,50666.66667,5.0,0,2,0,5,1,0,1.0,0,1,3,0,0.0,152000.0,185.8466291,3,6.0,1,0,0.0,0.0,0,3,1,8,1,5,0,0,3,4.0,64.25,0,0,4.0,2,3.0,0.0,6.0,0,6.0,0,5,0
2967,0,20000.0,4.0,0,1,0,4,1,0,1.0,0,1,2,0,0.0,60000.0,119.01205973333333,3,5.0,0,0,4.0,0.0,0,0,1,9,1,7,0,0,3,6.0,37.66666667,0,1,5.0,2,2.0,0.0,6.0,0,5.0,0,7,0
2970,0,12000.0,4.0,0,0,0,3,1,0,1.0,1,0,3,0,0.0,36000.0,187.35210433333336,3,6.0,1,0,3.0,0.0,0,2,1,8,1,7,0,0,1,6.0,62.66666667,0,1,5.0,0,1.0,0.0,6.0,0,6.0,0,7,0
2971,0,35000.0,0.0,0,0,0,4,1,0,2.0,0,1,3,0,0.0,70000.0,261.19660495,2,6.0,0,0,8.0,0.0,0,0,1,11,1,7,0,0,1,6.0,38.5,0,0,6.0,0,8.0,0.0,6.0,0,6.0,0,7,0
2973,0,66666.66667,1.0,1,1,0,5,1,1,2.0,1,1,6,1,0.0,200000.0,342.62681466666663,3,4.0,0,0,4.0,0.0,0,0,1,2,1,7,0,1,2,6.0,26.0,0,0,5.0,2,4.0,0.0,6.0,0,6.0,0,7,0
2974,0,20000.0,2.0,1,2,0,4,1,0,1.0,0,1,3,1,0.0,80000.0,174.56515245,4,6.0,1,0,2.0,0.0,0,1,1,2,1,7,0,1,2,6.0,31.0,0,0,7.0,0,2.0,0.0,6.0,0,6.0,0,7,1
2975,0,23333.33333,4.0,0,1,0,4,1,1,2.0,0,1,3,0,0.0,70000.0,275.1547106,3,6.0,1,0,4.0,1.0,0,2,1,8,1,7,0,0,1,6.0,50.66666667,0,1,3.0,0,2.0,2.0,6.0,0,6.0,0,7,0
2976,0,33333.33333,3.0,0,2,0,4,1,1,1.0,0,1,2,0,0.0,100000.0,277.9850441666667,3,6.0,0,0,7.0,0.0,0,0,1,9,1,7,0,0,3,4.0,38.66666667,0,0,5.0,2,5.0,0.0,4.0,0,6.0,0,7,0
2977,0,80000.0,3.0,0,0,0,5,1,0,1.0,0,1,4,0,0.0,160000.0,252.9977931,2,6.0,1,0,7.0,0.0,0,2,1,8,2,7,0,0,2,4.0,49.25,0,1,5.0,0,5.0,0.0,4.0,0,6.0,0,7,0
2978,0,30000.0,3.0,1,1,0,4,1,1,2.0,0,1,3,0,0.0,60000.0,355.00404745,2,6.0,1,0,3.0,1.0,0,2,1,7,1,7,0,1,1,4.0,37.4,0,1,2.0,0,3.0,2.0,4.0,0,4.0,1,7,0
2980,0,15000.0,3.0,1,1,0,3,1,0,1.0,0,1,2,1,0.0,45000.0,331.7223035,3,6.0,1,0,8.0,0.0,0,3,1,2,1,7,0,1,2,6.0,51.0,0,1,0.0,0,4.0,2.0,4.0,0,6.0,0,7,0
2982,0,33333.33333,2.0,0,2,0,4,1,0,1.0,0,1,4,0,0.0,100000.0,237.67701246666664,3,4.0,0,0,3.0,0.0,1,0,1,1,1,7,0,0,2,4.0,46.5,0,0,5.0,2,2.0,0.0,4.0,0,4.0,0,7,0
2983,0,70000.0,0.0,0,3,0,5,1,1,3.0,0,1,5,0,0.0,140000.0,472.93325465,2,6.0,0,0,4.0,1.0,1,0,1,1,1,7,0,0,2,6.0,38.5,0,0,6.0,2,4.0,2.0,6.0,0,6.0,0,7,0
2984,0,66666.66667,3.0,1,2,0,5,1,1,1.0,0,1,4,1,0.0,200000.0,215.11243553333335,3,6.0,0,0,4.0,0.0,0,0,1,2,1,7,0,1,3,6.0,23.33333333,0,0,6.0,2,4.0,0.0,6.0,0,6.0,0,7,0
2985,0,30000.0,2.0,1,2,0,5,1,1,4.0,0,1,6,0,0.0,150000.0,367.332009,5,6.0,1,0,2.0,0.0,0,2,1,7,1,7,0,1,2,6.0,37.0,0,0,7.0,2,2.0,0.0,6.0,0,6.0,1,7,1
3000,0,12500.0,3.0,0,1,0,3,1,1,2.0,0,1,3,0,0.0,50000.0,143.8728759,4,6.0,1,0,2.0,0.0,0,1,1,8,1,7,0,0,5,6.0,40.0,0,0,5.0,0,1.0,0.0,6.0,0,6.0,0,7,1
3006,0,10000.0,1.0,1,0,0,1,0,0,1.0,0,0,4,0,0.0,10000.0,234.010909,1,6.0,0,0,8.0,0.0,0,0,1,7,1,7,0,2,0,3.0,24.33333333,0,1,5.0,0,5.0,0.0,4.0,0,6.0,1,7,0
3011,0,14800.0,4.0,1,1,0,4,1,0,0.0,0,1,3,0,0.0,74000.0,206.3749644,5,6.0,1,0,6.0,0.0,0,2,1,7,2,7,0,1,1,6.0,42.4,0,1,7.0,0,6.0,0.0,6.0,0,6.0,1,7,1
3021,0,33333.33333,0.0,1,1,0,4,1,1,1.0,0,1,2,1,0.0,100000.0,66.31851763333333,3,4.0,0,0,8.0,0.0,0,0,1,2,1,7,0,1,1,4.0,29.0,0,1,7.0,2,8.0,0.0,4.0,0,6.0,0,7,0
3029,0,4400.0,2.0,1,0,0,2,1,0,1.0,0,1,2,1,0.0,13200.0,110.30332736666666,3,6.0,0,0,7.0,0.0,0,0,1,2,1,7,0,1,1,6.0,32.66666667,0,0,5.0,2,7.0,0.0,6.0,0,6.0,0,7,0
3040,0,20000.0,4.0,0,0,0,2,1,0,2.0,0,1,2,0,0.0,20000.0,809.2871039,1,6.0,1,0,8.0,0.0,0,3,1,8,1,7,0,0,0,6.0,66.5,0,0,3.0,0,7.0,1.0,6.0,0,6.0,0,7,0
3043,0,50000.0,4.0,0,0,0,4,1,1,1.0,0,1,4,0,0.0,100000.0,121.27971345,2,4.0,1,0,3.0,0.0,0,2,1,7,1,7,0,0,2,4.0,56.2,0,1,5.0,0,5.0,0.0,4.0,0,4.0,1,7,0
