,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
3585,0,5000.0,0.0,0,0,0,1,0,0,2.0,0,1,2,0,1.0,10000.0,73.9467997,2,6.0,0,0,6.0,0.0,1,0,0,1,1,7,0,0,0,1.0,42.0,0,0,5.0,1,5.0,1.0,6.0,0,6.0,0,7,1
3586,0,6000.0,2.0,1,1,0,3,0,0,3.0,0,1,5,0,1.0,30000.0,1.93257792,5,5.0,0,0,8.0,0.0,0,0,0,7,1,7,0,1,0,5.0,28.5,0,0,3.0,1,6.0,1.0,5.0,0,5.0,1,7,1
3587,0,3333.333333,4.0,1,0,0,2,0,0,3.0,0,0,6,0,1.0,20000.0,19.06793778333333,6,6.0,1,0,8.0,0.0,0,1,0,7,1,7,0,2,0,5.0,30.16666667,0,1,7.0,1,7.0,0.0,5.0,0,6.0,1,7,1
3588,0,1500.0,2.0,1,0,0,1,0,0,3.0,0,1,2,0,1.0,6000.0,50.998584,4,6.0,0,0,7.0,0.0,0,0,0,7,1,7,0,3,0,6.0,16.6,0,1,7.0,0,6.0,4.0,6.0,0,6.0,1,7,1
3589,0,4000.0,2.0,1,0,0,2,0,0,2.0,0,1,3,0,1.0,12000.0,85.00991893333334,3,6.0,1,0,6.0,0.0,0,1,0,7,2,7,0,1,0,6.0,29.8,0,0,6.0,0,5.0,3.0,6.0,0,6.0,1,7,1
3590,0,25000.0,3.0,0,0,0,3,0,0,3.0,0,1,3,0,1.0,50000.0,221.91577765,2,6.0,0,0,6.0,0.0,0,0,0,9,1,7,0,0,0,6.0,34.0,0,0,7.0,1,6.0,0.0,6.0,0,6.0,0,7,0
3591,0,2500.0,2.0,0,0,0,1,0,0,1.0,0,0,2,0,1.0,5000.0,139.32407125,2,6.0,0,0,6.0,0.0,0,0,0,11,1,7,0,0,0,6.0,45.5,0,1,5.0,1,5.0,3.0,6.0,0,6.0,0,7,1
3594,0,6000.0,4.0,1,0,0,3,0,0,3.0,0,1,3,0,1.0,30000.0,100.99078929999999,5,6.0,0,0,8.0,0.0,0,0,0,7,1,7,0,3,0,6.0,14.2,0,0,7.0,0,7.0,3.0,6.0,0,6.0,1,7,1
3595,0,4000.0,3.0,1,0,0,2,0,0,2.0,0,1,3,0,1.0,20000.0,108.96391218000001,5,6.0,1,0,6.0,0.0,0,2,0,7,1,7,0,2,0,6.0,37.33333333,0,0,4.0,0,5.0,3.0,6.0,0,6.0,1,7,1
3597,0,1333.333333,1.0,0,0,0,1,0,0,1.0,0,0,2,0,1.0,8000.0,18.105633,6,6.0,1,0,5.0,0.0,0,2,0,8,1,7,0,0,0,2.0,53.25,0,1,7.0,1,3.0,1.0,6.0,0,6.0,0,7,1
