,Unnamed: 0.1,index,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,perCapitaHouseholdEmission,perCapitaCookingEmission,perCapitaRefrigerationEmission,perCapitaLaundryEmission,perCapitaTVEmission,perCapitaPCEmission,perCapitaLighteningEmission,perCapitaHeatingEmission,perCapitaWaterheaterEmission,perCapitaACEmission,perCapitaVehicleEmission,TotalEmission,CookingEmission,RefrigerationEmission,LaundryEmission,TVEmission,PCEmission,LighteningEmission,HeatingEmission,WaterheaterEmission,ACEmission,VehicleEmission,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
2750,2750,2750,2751,12807,45.5,0,2,40000,13600,1,3,2,1,0,1,1,999999,8.5,2.5,1,1,0,0,5,1,0,6,6,6,6,4,6,7,2,4,3,3,999999,999999,1,2,999999,1,7,999999,1126.81338,188.209112,6.198404645,0.011610648,20.1251232,,6.61892941,,905.6502,,,2253.62676,376.418224,12.39680929,0.023221296,40.2502464,,13.23785882,,1811.3004,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2751,2751,2751,2752,12808,27.66666667,0,3,10800,16500,0,3,1,1,0,1,0,999999,999999,5.5,1,1,0,0,2,1,0,6,6,6,6,6,2,7,4,4,3,5,999999,999999,999999,4,999999,8,3,999999,192.7719725,87.78709333,8.33876285,1.197924,83.48199253,,2.385199787,,9.581,,,578.3159175,263.36128,25.01628855,3.593772,250.4459776,,7.15559936,,28.743,,,4,0,0,0,0,0,0,0,1,0,2,1,1,1
2752,2752,2752,2753,12812,41.33333333,0,3,30000,19500,1,3,1,1,0,1,0,999999,999999,5.5,1,1,1,0,2,1,0,999999,6,6,6,4,2,7,1,4,1,3,999999,999999,999999,3,2,1,4,2,285.6942338,8.9444992,10.33067441,0.102489053,13.4167488,,1.431119872,162.0460358,89.42266667,,,857.0827014,26.8334976,30.99202323,0.30746716,40.2502464,,4.293359616,486.1381074,268.268,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2753,2753,2753,2754,12813,61.5,1,4,30000,10200,1,3,1,1,0,1,0,999999,2.5,2.5,999999,0,0,1,6,1,0,6,6,6,6,5,7,5,2,3,3,3,999999,999999,3,2,999999,999999,999999,999999,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,1,1,0
2754,2754,2754,2755,12822,54,0,1,30000,12000,1,3,1,0,0,1,0,999999,999999,2.5,999999,0,0,0,5,1,0,6,6,6,6,3,5,5,3,999999,999999,1,999999,999999,999999,3,999999,999999,999999,999999,119.9213434,109.57128,,,9.583392,,0.76667136,,,,,119.9213434,109.57128,,,9.583392,,0.76667136,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2755,2755,2755,2756,12824,40,1,4,20000,9999998,1,3,5,1,0,1,0,999999,999999,5.5,999999,0,0,0,4,1,0,6,6,6,6,8,8,7,0,4,2,5,999999,999999,999999,2,999999,999999,999999,999999,13.71111395,10.294734,2.70082001,,,,0.715559936,,,,,54.84445579,41.178936,10.80328004,,,,2.862239744,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2756,2756,2756,2757,12828,43.75,1,4,40000,40000,1,3,2,0,0,1,0,999999,8.5,2.5,1,0,0,0,6,1,0,6,6,6,6,4,6,4,2,3,999999,2,999999,999999,2,1,999999,1,999999,999999,114.3714391,110.742528,,,,,3.628911105,,,,,457.4857564,442.970112,,,,,14.51564442,,,,,8,0,0,0,0,0,0,0,0,0,0,2,1,0
2757,2757,2757,2758,12850,63,0,2,10000,2900,1,3,1,1,0,1,0,999999,2.5,2.5,1,0,0,0,2,1,0,6,6,6,6,7,4,7,2,4,4,2,999999,999999,1,2,999999,0,999999,999999,14.94431187,0.1474368,13.50410006,0.04054512,,,1.252229888,,,,,29.88862373,0.2948736,27.00820011,0.08109024,,,2.504459776,,,,,6,0,0,0,1,0,0,0,0,0,0,2,1,0
2758,2758,2758,2759,12856,64,0,2,9999998,500,1,3,2,1,0,1,0,2.5,2.5,999999,1,0,0,0,5,1,0,6,6,6,6,8,8,7,2,4,2,2,999999,2,2,999999,999999,4,999999,999999,390.7937746,368.5917872,6.198404645,0.001658664,6.7083744,,3.57779968,5.71575,,,,781.5875492,737.1835744,12.39680929,0.003317328,13.4167488,,7.15559936,11.4315,,,,6,0,0,0,1,0,0,0,0,0,0,2,1,0
2759,2759,2759,2760,12860,32.5,0,4,20000,5000,1,3,1,0,0,1,0,2.5,999999,999999,0,0,0,0,6,1,0,6,6,6,6,4,6,7,1,4,999999,0,999999,3,999999,999999,999999,999999,999999,999999,63.7179117,54.78564,6.752050028,,0.8385468,,1.34167488,,,,,254.8716468,219.14256,27.00820011,,3.3541872,,5.36669952,,,,,2,0,0,0,0,0,0,1,0,0,1,0,0,1
