id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
16720,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16721,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16722,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16728,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16732,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16733,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16736,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16737,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16742,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16745,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16752,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16753,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16754,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16755,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16756,8,0,0,0,0,0,0,0,0,0,0,3,1,0,7
16760,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16767,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16769,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16775,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16776,6,0,0,0,1,0,0,0,0,0,0,1,1,0,7
16780,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16787,7,0,0,0,0,0,0,0,0,1,3,2,1,1,7
16789,4,0,0,0,0,0,0,0,1,0,1,2,1,1,7
16792,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16798,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16800,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16802,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16804,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16807,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16809,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16813,7,0,0,0,0,0,0,0,0,1,3,0,0,1,7
16822,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16828,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16847,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16851,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16854,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16855,7,0,0,0,0,0,0,0,0,1,3,0,0,1,7
16860,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16868,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16869,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16870,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16872,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16875,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16882,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16886,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
16892,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
16894,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
16898,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
16899,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
16900,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
16902,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16903,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
16909,6,0,0,0,1,0,0,0,0,0,0,1,1,0,6
16913,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
16916,6,0,0,0,1,0,0,0,0,0,0,1,1,0,6
16921,5,1,1,0,0,0,0,0,0,0,0,1,1,0,6
16931,7,0,0,0,0,0,0,0,0,1,1,1,1,1,6
16935,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16939,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
16943,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16949,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
16952,2,0,0,0,0,0,0,1,0,0,2,0,0,1,6
16957,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
16958,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
16960,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
16961,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
16966,7,0,0,0,0,0,0,0,0,1,1,2,1,1,6
16972,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16977,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
16983,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
16988,2,0,0,0,0,0,0,1,0,0,2,0,0,1,6
16989,7,0,0,0,0,0,0,0,0,1,1,0,0,1,6
16993,5,1,1,0,0,0,0,0,0,0,0,1,1,0,6
16994,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17001,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17011,7,0,0,0,0,0,0,0,0,1,2,1,1,1,6
17012,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17021,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17025,3,0,0,0,0,0,1,0,0,0,2,0,0,1,6
17031,5,1,1,0,0,0,0,0,0,0,0,1,1,0,6
17036,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
17042,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17044,7,0,0,0,0,0,0,0,0,1,1,2,1,1,6
17046,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17047,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17051,2,0,0,0,0,0,0,1,0,0,2,0,0,1,6
17055,4,0,0,0,0,0,0,0,1,0,1,2,1,1,6
17059,7,0,0,0,0,0,0,0,0,1,2,2,1,1,6
17062,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17063,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17066,9,0,0,0,0,0,0,0,0,0,1,0,0,1,6
17070,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17074,7,0,0,0,0,0,0,0,0,1,2,1,1,1,6
17076,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17078,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
17080,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17083,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17099,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17104,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17107,2,0,0,0,0,0,0,1,0,0,2,0,0,1,6
17108,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17113,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17118,4,0,0,0,0,0,0,0,1,0,1,1,1,1,6
17120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17121,3,0,0,0,0,0,1,0,0,0,2,0,0,1,6
17131,7,0,0,0,0,0,0,0,0,1,2,0,0,1,6
17134,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17151,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17153,7,0,0,0,0,0,0,0,0,1,1,0,0,1,6
17155,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17156,4,0,0,0,0,0,0,0,1,0,1,2,1,1,6
17158,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17168,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17171,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17174,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17178,2,0,0,0,0,0,0,1,0,0,2,0,0,1,6
17183,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17188,7,0,0,0,0,0,0,0,0,1,0,2,1,0,6
17190,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17197,7,0,0,0,0,0,0,0,0,1,1,2,1,1,6
17202,10,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17207,5,1,1,0,0,0,0,0,0,0,0,1,1,0,6
17208,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17209,7,0,0,0,0,0,0,0,0,1,0,0,0,0,6
17213,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17214,6,0,0,0,1,0,0,0,0,0,0,2,1,0,6
17219,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17224,8,0,0,0,0,0,0,0,0,0,0,2,1,0,6
17225,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17227,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17228,2,0,0,0,0,0,0,1,0,0,1,1,1,1,6
17231,8,0,0,0,0,0,0,0,0,0,0,1,1,0,6
17237,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17243,7,0,0,0,0,0,0,0,0,1,1,1,1,1,6
17245,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17248,7,0,0,0,0,0,0,0,0,1,0,0,0,0,6
17250,2,0,0,0,0,0,0,1,0,0,1,0,0,1,6
17252,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
17253,3,0,0,0,0,0,1,0,0,0,2,0,0,1,6
17254,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17262,7,0,0,0,0,0,0,0,0,1,1,2,1,1,6
17271,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6
