,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
155,1046,12.79360195,16.104816,401.893272083,12.76378792,2586.122449,6.262984,8.8576488,44.7356,1655.6625,
156,1050,0.0,79.964885,153.6478125,31.786965428000002,328.3688047,9.319916667,46.97238,,0.0,399.3470634
157,1054,,,199.017,14.80941633,2277.55102,,26.841359999999998,,0.0,312.0580878
158,1061,55.33380469,,233.68708999999998,31.90946979,2837.755102,5.032755,8.8576488,140.91714000000002,0.0,399.3470634
159,1074,6.72109375,0.0,390.5509335,14.80941633,1621.574344,0.0,4.920916,80.52408,0.0,
160,1075,0.0,,849.89051875,19.97293356,1395.0,33.2721025,8.8576488,116.31256,0.0,335.517
161,1089,,,0.0,6.731552877,0.0,0.0,0.0,0.0,0.0,
162,1106,2.711029412,,366.924285,15.97834685,2623.906706,5.368272,4.026204,33.5517,0.0,83.87925
163,1129,0.0,38.02526,333.950419833,37.02354082,1967.930029,7.455933333,4.026204,,0.0,83.87925
164,1132,,,228.31965,14.80941633,0.0,4.47356,32.59308,38.3448,0.0,99.85625
165,1138,0.0,,464.373,29.71772507,756.7346939,0.0,8.8576488,,0.0,312.0580878
166,1140,40.44178125,26.394004000000002,466.120484375,14.80941633,2190.699708,15.210104,34.893768,,0.0,214.578
167,1143,,,331.695,0.0,0.0,0.0,9.394476000000001,,0.0,
168,1154,9.40953125,60.39306,331.695,21.949266578,2562.244898,12.8128,13.6890936,,0.0,187.2348527
169,1157,78.34875,7.157696,0.0,12.76378792,0.0,0.0,5.815628,,0.0,
170,1158,0.0,5.368272,137.710755,29.71772507,0.0,4.175322667,8.8576488,60.39306,0.0,
171,1160,28.879240809000002,5.368272,193.027198,14.80941633,1135.102041,46.592,8.8576488,60.39306,662.265,284.5620605
172,1161,15.04244792,0.0,0.0,14.80941633,1991.54519,0.0,0.0,0.0,0.0,0.0
173,1177,0.0,23.262512,810.979866667,14.80941633,878.2714286,25.6256,15.5679888,,0.0,239.608238
174,1186,24.679856252,39.367328,265.356,51.882403350000004,1849.795918,12.8128,13.6890936,,0.0,280.0521301
175,1190,11.888617035,4.601376,206.79516,12.76378792,840.8163265,11.44,24.92412,,0.0,71.8965
176,1193,,28.630784,221.13,11.88709003,1261.22449,1.946388889,2.23678,,0.0,187.2348527
177,1214,0.0,45.853989999999996,247.666965,15.9547349,585.5142857,11.1839,4.026204,201.3102,0.0,214.578
178,1216,,17.89424,274.81272,12.76378792,1239.795918,23.7657875,8.8576488,95.06315,0.0,143.052
