Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
1770,8663,福建省,三明市,永安市,-1,26,3,0,5,6,3,-99,4,5,0,4,72000,4,50000,0,18000,5,533.333,2,24.375,1,3,22.5,1,1,1,2600,270,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Sanming,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,5
1771,8664,福建省,福州市,永泰县,-1,37,2,0,3,1,1,1,4,5,2,4,85000,3,35000,7,28333.33333,4,725,0.775,24.375,2,1.714,22.5,3,2,3.5,3333.333,300,2.5,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,7,0,0,0,0,0,0,0,0,1,1,2,1,1,5
1772,8679,福建省,漳州市,东山县,1,39,3,1,5,3,-99,-99,4,5,2,5,120000,3,25300,7,40000,5,1116.667,3,28.125,1,1,37.5,-99,1,2.833,3333.333,230,2,3,-99,-99,-99,1,2.25,9,7.5,-99,1,0.5,1,9,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
1773,8686,福建省,漳州市,东山县,1,38,3,1,6,1,-99,5,1,5,2,4,60000,4,30000,7,15000,6,1500,2.25,24.375,1,1,15,2,1,3.5,2966.667,210,2.5,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,5
1774,8690,福建省,三明市,永安市,-1,60,3,0,4,2,-99,-99,2,4,1,3,40000,6,43600,7,6666.666667,1,-99,3,90,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Sanming,1,7,0,0,0,0,0,0,0,0,1,2,2,1,1,5
1775,8698,福建省,三明市,永安市,1,83,3,0,4,1,5,5,2,4,0,3,30000,4,15200,7,7500,5,1416.667,2.107,22.5,1,3,22.5,-99,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Sanming,1,8,0,0,0,0,0,0,0,0,0,0,2,1,0,5
1776,8705,福建省,漳州市,东山县,-1,17,3,1,5,1,3,2,3,4,0,7,-99,3,-99,7,3333332.667,5,1175,2.25,20.625,1,1,15,-99,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Zhangzhou,1,3,0,0,0,0,0,1,0,0,0,1,0,0,1,5
1777,8715,福建省,漳州市,东山县,1,45,3,1,8,1,2,-99,2,4,2,4,60000,1,-99,7,60000,3,1500,2.667,25,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1778,8717,福建省,三明市,永安市,-1,57,2,1,5,3,-99,3,3,5,0,3,42600,2,40000,7,21300,6,1116.667,2,26.25,1,2,22.5,1,1,1,3333.333,210,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Sanming,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,5
1779,8729,福建省,福州市,永泰县,-1,43,1,0,4,2,-99,2,4,4,0,2,20000,4,-99,7,5000,4,1050,2.5,24.375,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,Fuzhou,1,7,0,0,0,0,0,0,0,0,1,2,0,0,1,5
1780,8735,福建省,福州市,永泰县,1,63,5,0,4,2,-99,-99,4,4,0,4,100000,2,300000,7,50000,2,1250,2,37.5,1,1,37.5,2,1,4.5,3333.333,480,2,3,-99,-99,-99,1,-99,-99,-99,-99,1,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,5
1781,8742,福建省,福州市,永泰县,1,49,2,0,5,2,-99,-99,1,1,0,5,200000,1,100000,7,200000,3,900,1.367,37.5,1,1,22.5,1,1,3.5,3333.333,390,1.333,3,-99,-99,-99,1,2.25,-99,6.5,20000,1,3.25,0,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1782,8748,福建省,三明市,永安市,-1,47,3,1,4,2,2,-99,4,4,2,3,40000,3,25000,7,13333.33333,4,833.333,1.775,28.125,1,1,37.5,1,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Sanming,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1783,8751,福建省,漳州市,东山县,-1,52,3,0,4,1,-99,-99,4,5,0,4,70000,4,78500,7,17500,4,1500,2.75,20.625,1,2,22.5,-99,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,1,1,1,0,0,0,0,0,Zhangzhou,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
1784,8754,福建省,福州市,永泰县,1,78,3,1,3,1,2,-99,3,4,0,7,-99,2,-99,7,4999999.5,3,725,1.476,20,1,1,52.5,1,1,2.5,-99,270,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,7,0,0,0,0,0,0,0,0,1,0,2,1,0,5
1785,8760,福建省,三明市,永安市,1,82,2,1,4,5,-99,2,4,5,0,3,44400,2,-99,7,22200,4,-99,3,20.625,1,2,22.5,1,1,1,2600,150,3,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Sanming,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,5
1786,8764,福建省,漳州市,东山县,-1,23,3,0,5,2,-99,3,3,3,2,7,-99,8,-99,7,1249999.75,4,666.667,2.25,28.125,1,3,15,-99,1,4,3333.333,480,2,3,-99,-99,-99,1,-99,-99,-99,-99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,7,0,0,0,0,0,0,0,0,1,1,0,0,1,5
1787,8766,福建省,福州市,永泰县,-1,71,3,1,4,4,-99,1,5,5,0,7,-99,1,-99,7,9999998,3,1250,2.667,35,1,1,22.5,-99,1,1.5,3333.333,170,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,8,0,0,0,0,0,0,0,0,0,0,1,1,0,5
1788,8773,福建省,福州市,永泰县,-1,40,2,1,5,1,-99,3,4,3,2,4,100000,4,60000,7,25000,2,1175,1.214,37.5,1,0.857,22.5,-99,1,2.5,3333.333,150,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,5
1789,8774,福建省,福州市,永泰县,-1,22,3,0,5,3,2,2,2,4,0,7,-99,3,100000,7,3333332.667,3,850,2.033,37.5,1,3,22.5,-99,1,4.5,3333.333,480,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5
