,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,Unnamed: 0,ac_emission,computer_emission,cooking_emission,freezing_emission,heating_emission,laundry_emission,lighting_emission,television_emission,vehicle_emission,waterheating_emission,percapita_ac_emission,percapita_computer_emission,percapita_cooking_emission,percapita_freezing_emission,percapita_heating_emission,percapita_laundry_emission,percapita_lighting_emission,percapita_television_emission,percapita_vehicle_emission,percapita_waterheating_emission,TotalHouseholdEmission,percapita_HouseholdEmission
166,1140,38.0,0,3,100000,50000,0,0,6,1,0,1,2,999999.0,2.5,2.5,999999,1,2,1,4,2,1,5,5,6,6,0,0,7,3,4,4,1,1,999999,4,4,5,999999,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33333.33333,16666.66667,166,80.8835625,26.394004,466.120484375,14.80941633,1366.2,15.210104,34.893768,0.0,0.0,214.578,26.961187499999998,8.798001333333334,155.37349479166667,4.9364721099999995,455.40000000000003,5.0700346666666665,11.631256,0.0,0.0,71.526,2219.089339205,739.6964464016668
167,1143,45.27272727,0,11,30000,9999998,0,0,6,1,0,1,0,2.5,999999.0,5.5,999999,0,1,0,999999,2,0,4,4,4,6,7,8,7,999999,4,999999,3,999999,0,999999,2,999999,999999,999999,0,7,0,0,0,0,0,0,0,0,1,1,3,1,1,2727.272727,909090.7273,167,0.0,0.0,331.695,0.0,1260.0,0.0,9.394476,0.0,0.0,0.0,0.0,0.0,30.154090909090908,0.0,114.54545454545455,0.0,0.8540432727272727,0.0,0.0,0.0,1601.0894759999999,145.5535887272727
168,1154,60.5,1,2,9999998,9999999,0,0,1,1,0,1,2,999999.0,999999.0,8.5,999999,1,1,0,6,0,1,5,6,6,6,3,5,7,2,4,4,1,3,999999,999999,3,4,999999,2,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,4999999.0,4999999.5,168,18.8190625,60.39306,331.695,21.949266578,1953.0,12.8128,13.6890936,0.0,0.0,187.2348527,9.40953125,30.19653,165.8475,10.974633289,976.5,6.4064,6.8445468,0.0,0.0,93.61742635,2599.593135378,1299.796567689
169,1157,50.0,0,2,80000,9999999,0,0,4,1,0,1,2,999999.0,999999.0,2.5,999999,0,1,0,999999,2,0,5,5,6,6,0,3,7,0,4,0,0,0,999999,999999,4,999999,999999,999999,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40000.0,4999999.5,169,156.6975,7.157696,0.0,12.76378792,1293.75,0.0,5.815628,0.0,0.0,0.0,78.34875,3.578848,0.0,6.38189396,646.875,0.0,2.907814,0.0,0.0,0.0,1476.18461192,738.09230596
170,1158,40.75,1,4,80000,20000,0,0,2,1,0,1,1,999999.0,999999.0,5.5,1,0,2,1,6,2,1,6,6,6,5,1,3,7,1,4,3,3,1,999999,999999,3,999999,8,999999,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.0,5000.0,170,0.0,5.368272,137.710755,29.71772507,0.0,4.175322667,8.8576488,60.39306,0.0,0.0,0.0,1.342068,34.42768875,7.4294312675,0.0,1.04383066675,2.2144122,15.098265,0.0,0.0,246.22278353699997,61.55569588424999
171,1160,21.0,1,3,120000,70000,0,0,2,1,0,1,1,999999.0,999999.0,5.5,999999,1,3,1,5,2,1,5,6,5,6,999999,999999,7,3,4,6,3,1,999999,999999,3,4,999999,5,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,40000.0,23333.33333,171,57.758481620000005,5.368272,193.027198,14.80941633,865.2,46.592,8.8576488,60.39306,662.265,284.5620605,19.25282720666667,1.7894240000000001,64.34239933333333,4.9364721099999995,288.40000000000003,15.530666666666667,2.9525495999999998,20.13102,220.755,94.85402016666666,2198.83313725,732.9443790833334
172,1161,74.0,1,2,130000,120000,0,0,4,1,0,1,1,999999.0,999999.0,8.5,999999,2,2,0,4,2,1,6,6,6,6,7,8,0,1,4,2,3,2,999999,999999,1,4,999999,4,5,6,0,0,0,1,0,0,0,0,0,0,2,1,0,65000.0,60000.0,172,30.08489583,0.0,0.0,14.80941633,1518.0,0.0,0.0,0.0,0.0,0.0,15.042447915,0.0,0.0,7.404708165,759.0,0.0,0.0,0.0,0.0,0.0,1562.89431216,781.44715608
173,1177,48.5,0,4,20000,9999998,0,0,3,1,0,2,1,2.5,999999.0,5.5,999999,1,1,0,4,2,1,5,5,5,5,4,4,7,4,4,4,5,4,1,999999,3,3,999999,2,3,8,0,0,0,0,0,0,0,0,0,0,1,1,0,5000.0,2499999.5,173,0.0,23.262512,810.979866667,14.80941633,860.706,25.6256,15.5679888,0.0,0.0,239.608238,0.0,5.815628,202.74496666675,3.7023540825,215.1765,6.4064,3.8919972,0.0,0.0,59.9020595,1990.559621797,497.63990544925
174,1186,61.0,0,2,100000,59000,0,0,1,1,0,2,2,999999.0,999999.0,8.5,999999,1,4,1,5,2,1,5,6,5,6,3,3,7,4,4,4,2,4,999999,999999,3,5,999999,1,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,50000.0,29500.0,174,49.35971252,39.367328,265.356,51.88240335,1153.6,12.8128,13.6890936,0.0,0.0,280.0521301,24.67985626,19.683664,132.678,25.941201675,576.8,6.4064,6.8445468,0.0,0.0,140.02606505,1866.1194675699999,933.0597337849999
175,1190,32.5,0,6,9999999,97600,1,0,7,1,0,1,1,2.5,999999.0,999999.0,999999,1,3,0,5,0,0,6,6,6,6,2,4,6,1,4,2,4,1,4,999999,999999,3,999999,1,1,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1666666.5,16266.66667,175,23.777234068,4.601376,206.79516,12.76378792,824.0,11.44,24.92412,0.0,0.0,71.8965,3.9628723446666663,0.766896,34.46586,2.1272979866666666,137.33333333333334,1.9066666666666665,4.15402,0.0,0.0,11.982750000000001,1180.198177988,196.69969633133334
176,1193,36.33333333,1,3,9999998,9999998,0,0,1,1,0,0,1,999999.0,999999.0,2.5,999999,1,1,1,5,3,1,5,6,6,6,8,8,7,2,4,2,999999,5,999999,999999,2,3,999999,2,999999,3,0,0,0,0,0,1,0,0,0,1,0,0,1,3333332.667,3333332.667,176,0.0,28.630784,221.13,11.88709003,1236.0,1.946388889,2.23678,0.0,0.0,187.2348527,0.0,9.543594666666666,73.71,3.962363343333333,412.0,0.6487962963333334,0.7455933333333333,0.0,0.0,62.41161756666667,1689.0658956189998,563.0219652063332
