id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region
14095,广东省,广州市,天河区,1,64,2,1,5,2,-99,-99,2,2,0,3,45000,3,41100,7,15000,2,600,2.5,22.5,1,3,37.5,1,1,5.5,2666.667,480,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,15.210104,219.14802,31.90946979,0,2.982373333,24.60458,301.9653,0,399.3470634,995.1669105,995.1669105,Guangzhou,331.7223035,1
14098,广东省,广州市,天河区,-1,72,2,1,4,1,-99,2,3,3,0,4,63600,3,-99,7,21200,6,-99,1.465,31.875,1,3,22.5,1,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,8.94712,464.373,11.88709003,0,26.69333333,15.210104,0,0,214.578,741.6886474,741.6886474,Guangzhou,247.2295491,1
14101,广东省,广州市,海珠区,-1,48,1,1,5,2,3,3,2,4,2,4,100000,3,24500,7,33333.33333,4,600,1.607,33.75,1,2,37.5,2,1,3,2666.667,390,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,42.275142,154.69181,12.76378792,0,23.7657875,26.84136,95.06315,0,357.63,713.0310374,713.0310374,Guangzhou,237.6770125,1
14103,广东省,广州市,海珠区,-1,37,2,1,5,4,-99,-99,2,4,2,5,140000,2,168000,7,70000,5,833.333,1.508,35.625,1,3,22.5,2,1,4.5,2600,390,2,3,-99,-99,-99,1,-99,-99,7.5,-99,1,0.75,1,0,0,0,0,0,0,1,0,0,0,0,0,82.76086,504.3088429,18.51177041,0,4.47356,94.392116,26.84136,0,214.578,945.8665093,945.8665093,Guangzhou,472.9332547,1
14110,广东省,广州市,白云区,-1,30,2,1,5,3,3,2,2,4,2,5,200000,3,100000,7,66666.66667,4,900,1.857,22.5,1,1,22.5,1,1,3,3333.333,300,1,2,-99,-99,-99,1,-99,-99,6.5,-99,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.13058125,24.157224,219.5209835,12.76378792,0,7.455933333,8.8576488,60.39306,0,312.0580878,645.2067254,645.3373066,Guangzhou,215.0689085,1
14121,广东省,广州市,白云区,-1,29,2,1,5,4,-99,3,3,4,2,5,150000,5,80000,7,30000,6,883.333,1.775,52.5,1,1,90,2,1,2.25,2666.667,195,5,3,-99,-99,-99,1,2.25,-99,-99,-99,1,0.5,7,0,0,0,0,0,0,1,0,0,0,0,0.096015625,51.893296,851.5914035,12.76378792,0,15.65746,12.7943816,33.5517,0,858.312,1836.564029,1836.660045,Guangzhou,367.3128058,1
14132,广西壮族自治区,玉林市,玉州区,-1,36,2,0,1,2,2,5,2,2,2,3,38400,4,100000,7,9600,3,1250,2,32.5,1,3,22.5,-99,1,5.5,3000,90,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,259.5614385,0,0,0,6.71034,0,0,421.20351,687.4752885,687.4752885,Yulin,171.8688221,1
14142,广西壮族自治区,柳州市,三江侗族自治县,-1,52,3,0,-99,2,3,-99,4,3,1,0,800,3,13940,7,266.6666667,1,-99,3,90,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,402.17814,0,0,0,8.8576488,0,0,0,411.0357888,411.0357888,Liuzhou,137.0119296,1
14147,广西壮族自治区,柳州市,三江侗族自治县,1,40,3,0,4,2,-99,3,4,3,1,7,-99,4,12000,7,2499999.5,4,700,1.678,42.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,246.3004104,12.76378792,0,0,31.31492,0,0,0,290.3791183,290.3791183,Liuzhou,72.59477958,1
14154,广西壮族自治区,柳州市,三江侗族自治县,1,69,3,1,4,1,3,-99,3,4,0,7,-99,2,-99,0,4999999,1,-99,3,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liuzhou,0,1
14175,广西壮族自治区,柳州市,三江侗族自治县,1,59,3,0,4,5,-99,-99,5,4,1,2,15000,6,30000,7,2500,5,625,1.857,28.125,1,3,15,2,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,15.210104,386.7740695,15.9547349,0,0,72.471672,0,0,280.80234,771.2129204,771.2129204,Liuzhou,128.5354867,1
14188,广西壮族自治区,玉林市,玉州区,1,39,2,0,4,1,5,2,1,1,2,3,50000,3,50000,7,16666.66667,3,925,1.952,25,1,3,15,-99,1,-99,3333.333,270,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,16.104816,361.1459367,14.80941633,0,0,8.499764,0,0,143.052,543.611933,543.611933,Yulin,181.2039777,1
