id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
15504,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15508,8,0,0,0,0,0,0,0,0,0,0,3,1,0
15509,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15515,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15516,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15518,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15519,10,0,0,0,0,0,0,0,0,0,0,1,1,0
15521,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15522,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15525,7,0,0,0,0,0,0,0,0,1,2,0,0,1
15526,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15527,8,0,0,0,0,0,0,0,0,0,1,2,1,1
15528,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15531,9,0,0,0,0,0,0,0,0,0,1,0,0,1
15541,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15545,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15547,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15550,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15552,7,0,0,0,0,0,0,0,0,1,1,0,0,1
15564,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15565,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15567,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15570,2,0,0,0,0,0,0,1,0,0,1,1,1,1
15577,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15578,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15583,7,0,0,0,0,0,0,0,0,1,2,1,1,1
15589,7,0,0,0,0,0,0,0,0,1,1,0,0,1
15596,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15598,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15602,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15603,2,0,0,0,0,0,0,1,0,0,1,1,1,1
15607,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15608,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15614,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15619,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15621,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15624,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15626,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15628,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15635,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15639,7,0,0,0,0,0,0,0,0,1,1,0,0,1
15645,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15653,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15655,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15657,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15660,4,0,0,0,0,0,0,0,1,0,1,2,1,1
15662,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15665,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15666,7,0,0,0,0,0,0,0,0,1,2,1,1,1
15672,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15675,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15676,2,0,0,0,0,0,0,1,0,0,2,0,0,1
15680,4,0,0,0,0,0,0,0,1,0,1,2,1,1
15681,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15683,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15690,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15691,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15693,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15701,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15706,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15710,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15714,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15719,0,0,1,1,0,0,0,0,0,0,1,0,0,1
15720,3,0,0,0,0,0,1,0,0,0,1,0,0,1
15722,8,0,0,0,0,0,0,0,0,0,1,2,1,1
15726,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15738,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15739,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15740,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15745,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15747,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15752,10,0,0,0,0,0,0,0,0,0,0,1,1,0
15756,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15761,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15768,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15776,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15778,11,0,0,0,0,0,0,0,0,0,0,0,0,0
15783,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15784,2,0,0,0,0,0,0,1,0,0,1,1,1,1
15787,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15789,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15793,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15794,8,0,0,0,0,0,0,0,0,0,1,1,1,1
15798,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15800,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15808,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15815,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15818,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15823,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15835,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15837,8,0,0,0,0,0,0,0,0,0,0,3,1,0
15841,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15844,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15850,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15861,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15871,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15876,4,0,0,0,0,0,0,0,1,0,1,2,1,1
15881,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15887,2,0,0,0,0,0,0,1,0,0,2,0,0,1
15888,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15889,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15892,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15896,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15897,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15899,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15909,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15917,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15918,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15931,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15932,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15937,3,0,0,0,0,0,1,0,0,0,1,0,0,1
15941,7,0,0,0,0,0,0,0,0,1,0,1,1,0
15948,7,0,0,0,0,0,0,0,0,1,0,1,1,0
15950,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15952,11,0,0,0,0,0,0,0,0,0,0,0,0,0
15953,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15954,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15956,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15958,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15961,7,0,0,0,0,0,0,0,0,1,0,0,0,0
15967,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15971,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15974,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15977,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15979,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15980,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15982,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15984,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15988,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15989,9,0,0,0,0,0,0,0,0,0,1,0,0,1
15991,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15993,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15996,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15997,6,0,0,0,1,0,0,0,0,0,0,2,1,0
16000,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16009,7,0,0,0,0,0,0,0,0,1,1,1,1,1
16010,8,0,0,0,0,0,0,0,0,0,0,1,1,0
16014,8,0,0,0,0,0,0,0,0,0,0,3,1,0
16016,5,1,1,0,0,0,0,0,0,0,0,1,1,0
16022,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16029,4,0,0,0,0,0,0,0,1,0,2,1,1,1
16032,6,0,0,0,1,0,0,0,0,0,0,2,1,0
16042,7,0,0,0,0,0,0,0,0,1,1,2,1,1
16046,11,0,0,0,0,0,0,0,0,0,0,0,0,0
16050,7,0,0,0,0,0,0,0,0,1,0,0,0,0
16051,7,0,0,0,0,0,0,0,0,1,2,1,1,1
16054,7,0,0,0,0,0,0,0,0,1,0,2,1,0
16059,7,0,0,0,0,0,0,0,0,1,1,1,1,1
16063,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16073,8,0,0,0,0,0,0,0,0,0,1,1,1,1
16074,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16075,11,0,0,0,0,0,0,0,0,0,0,0,0,0
16077,7,0,0,0,0,0,0,0,0,1,2,2,1,1
16082,3,0,0,0,0,0,1,0,0,0,2,0,0,1
16088,7,0,0,0,0,0,0,0,0,1,0,0,0,0
16089,1,0,0,0,0,1,0,0,0,0,0,0,0,0
16097,3,0,0,0,0,0,1,0,0,0,1,0,0,1
16100,7,0,0,0,0,0,0,0,0,1,0,2,1,0
16103,8,0,0,0,0,0,0,0,0,0,0,2,1,0
16108,7,0,0,0,0,0,0,0,0,1,2,1,1,1
16109,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16113,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16117,2,0,0,0,0,0,0,1,0,0,2,0,0,1
16137,6,0,0,0,1,0,0,0,0,0,0,2,1,0
16142,4,0,0,0,0,0,0,0,1,0,1,1,1,1
16148,3,0,0,0,0,0,1,0,0,0,1,0,0,1
16149,7,0,0,0,0,0,0,0,0,1,1,2,1,1
